budget,genres,homepage,original_language,original_title,overview,popularity,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
25000000,"[{""id"": 53; ""name"": ""Thriller""}; {""id"": 28; ""name"": ""Action""}; {""id"": 18; ""name"": ""Drama""}; {""id"": 10402; ""name"": ""Music""}; {""id"": 10749; ""name"": ""Romance""}]",,en,The Bodyguard,A former Secret Service agent grudgingly takes an assignment to protect a pop idol who's threatened by a crazed fan. At first; the safety-obsessed bodyguard and the self-indulgent diva totally clash. But before long; all that tension sparks fireworks of another sort; and the love-averse tough guy is torn between duty and romance.,26.576385,"November 25, 1992",411006740,129,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,Never let her out of your sight. Never let your guard down. Never fall in love.,The Bodyguard,6.1,661
40000000,"[{""id"": 18; ""name"": ""Drama""}]",http://www.sonypictures.com/movies/afewgoodmen/,en,A Few Good Men,When cocky military lawyer Lt. Daniel Kaffee and his co-counsel; Lt. Cmdr. JoAnne Galloway; are assigned to a murder case; they uncover a hazing ritual that could implicate high-ranking officials such as shady Col. Nathan Jessep.,40.379966,"December 11, 1992",243240178,138,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,,A Few Good Men,7.1,877
32000000,"[{""id"": 28; ""name"": ""Action""}; {""id"": 12; ""name"": ""Adventure""}; {""id"": 18; ""name"": ""Drama""}; {""id"": 53; ""name"": ""Thriller""}]",,en,Alive,The amazing; true story of a Uruguayan rugby team's plane that crashed in the middle of the Andes mountains; and their immense will to survive and pull through alive; forced to do anything and everything they could to stay alive on meager rations and through the freezing cold.,14.48851,"January 15, 1993",36733909,120,"[{""iso_639_1"": ""en""; ""name"": ""English""}; {""iso_639_1"": ""pt""; ""name"": ""Portugu\u00eas""}]",Released,They survived the impossible...by doing the unthinkable.,Alive,6.7,374
14600000,"[{""id"": 10749; ""name"": ""Romance""}; {""id"": 14; ""name"": ""Fantasy""}; {""id"": 18; ""name"": ""Drama""}; {""id"": 35; ""name"": ""Comedy""}]",,en,Groundhog Day,A narcissistic TV weatherman; along with his attractive-but-distant producer and mawkish cameraman; is sent to report on Groundhog Day in the small town of Punxsutawney; where he finds himself repeating the same day over and over.,52.744331,"February 11, 1993",70906973,101,"[{""iso_639_1"": ""en""; ""name"": ""English""}; {""iso_639_1"": ""fr""; ""name"": ""Fran\u00e7ais""}; {""iso_639_1"": ""it""; ""name"": ""Italiano""}]",Released,He's having the worst day of his life... over; and over...,Groundhog Day,7.4,2301
22000000,"[{""id"": 28; ""name"": ""Action""}; {""id"": 12; ""name"": ""Adventure""}; {""id"": 80; ""name"": ""Crime""}; {""id"": 878; ""name"": ""Science Fiction""}; {""id"": 53; ""name"": ""Thriller""}]",,en,RoboCop 3,The mega corporation Omni Consumer Products is still bent on creating their pet project; Delta City; to replace the rotting city of Detroit. Unfortunately; the inhabitants of the area have no intention of abandoning their homes simply for desires of the company. To this end; OCP have decided to force them to leave by employing a ruthless mercenary army to attack and harass them. An underground resistance begins and in this fight; Robocop must decide where his loyalties lie.,14.725467,"April 17, 1993",10696210,104,"[{""iso_639_1"": ""en""; ""name"": ""English""}; {""iso_639_1"": ""ja""; ""name"": ""\u65e5\u672c\u8a9e""}]",Released,He's back to lay down the law.,RoboCop 3,4.2,305
7000000,"[{""id"": 18; ""name"": ""Drama""}; {""id"": 10749; ""name"": ""Romance""}]",,en,The Piano,After a long voyage from Scotland; pianist Ada McGrath and her young daughter; Flora; are left with all their belongings; including a piano; on a New Zealand beach. Ada; who has been mute since childhood; has been sold into marriage to a local man named Alisdair Stewart. Making little attempt to warm up to Alisdair; Ada soon becomes intrigued by his Maori-friendly acquaintance; George Baines; leading to tense; life-altering conflicts.,17.681707,"May 19, 1993",116700000,121,"[{""iso_639_1"": ""en""; ""name"": ""English""}; {""iso_639_1"": ""mi""; ""name"": """"}]",Released,,The Piano,7.1,281
70000000,"[{""id"": 28; ""name"": ""Action""}; {""id"": 12; ""name"": ""Adventure""}; {""id"": 53; ""name"": ""Thriller""}]",,en,Cliffhanger,A year after losing his friend in a tragic 4;000-foot fall; former ranger Gabe Walker and his partner; Hal; are called to return to the same peak to rescue a group of stranded climbers; only to learn the climbers are actually thieving hijackers who are looking for boxes full of money.,26.19909,"May 28, 1993",255000211,112,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,The height of adventure.,Cliffhanger,6.1,588
48000000,"[{""id"": 12; ""name"": ""Adventure""}; {""id"": 35; ""name"": ""Comedy""}; {""id"": 10751; ""name"": ""Family""}; {""id"": 14; ""name"": ""Fantasy""}]",,en,Super Mario Bros.,Mario and Luigi; plumbers from Brooklyn; find themselves in an alternate universe where evolved dinosaurs live in hi-tech squalor. They're the only hope to save our universe from invasion by the dino dictator; Koopa.,14.587367,"May 28, 1993",20915465,104,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,This Ain't No Game.,Super Mario Bros.,4,232
63000000,"[{""id"": 12; ""name"": ""Adventure""}; {""id"": 878; ""name"": ""Science Fiction""}]",http://www.jurassicpark.com/,en,Jurassic Park,A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day; he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However; the park is anything but amusing as the security systems go off-line and the dinosaurs escape.,40.413191,"June 11, 1993",920100000,127,"[{""iso_639_1"": ""en""; ""name"": ""English""}; {""iso_639_1"": ""es""; ""name"": ""Espa\u00f1ol""}]",Released,An adventure 65 million years in the making.,Jurassic Park,7.6,4856
85000000,"[{""id"": 12; ""name"": ""Adventure""}; {""id"": 14; ""name"": ""Fantasy""}; {""id"": 28; ""name"": ""Action""}; {""id"": 35; ""name"": ""Comedy""}; {""id"": 10751; ""name"": ""Family""}]",,en,Last Action Hero,Danny is obsessed with a fictional movie character action hero Jack Slater. When a magical ticket transports him into Jack's latest adventure; Danny finds himself in a world where movie magic and reality collide. Now it's up to Danny to save the life of his hero and new friend.,32.044191,"June 18, 1993",137298489,130,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,This isn't the movies anymore.,Last Action Hero,6.1,712
42000000,"[{""id"": 18; ""name"": ""Drama""}; {""id"": 9648; ""name"": ""Mystery""}; {""id"": 53; ""name"": ""Thriller""}]",,en,The Firm,Mitch McDeere is a young man with a promising future in Law. About to sit his Bar exam; he is approached by 'The Firm' and made an offer he doesn't refuse. Seduced by the money and gifts showered on him; he is totally oblivious to the more sinister side of his company. Then; two Associates are murdered. The FBI contact him; asking him for information and suddenly his life is ruined. He has a choice - work with the FBI; or stay with the Firm. Either way he will lose his life as he knows it. Mitch figures the only way out is to follow his own plan...,23.736535,"June 30, 1993",270248367,154,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,Power can be murder to resist.,The Firm,6.6,501
28000000,"[{""id"": 35; ""name"": ""Comedy""}; {""id"": 10751; ""name"": ""Family""}; {""id"": 14; ""name"": ""Fantasy""}]",,en,Hocus Pocus,After 300 years of slumber; three sister witches are accidentally resurrected in Salem on Halloween night; and it us up to three kids and their newfound feline friend to put an end to the witches' reign of terror once and for all.,18.650748,"July 16, 1993",39514713,96,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,It's just a bunch of Hocus Pocus.,Hocus Pocus,6.4,471
44000000,"[{""id"": 12; ""name"": ""Adventure""}; {""id"": 28; ""name"": ""Action""}; {""id"": 53; ""name"": ""Thriller""}; {""id"": 80; ""name"": ""Crime""}; {""id"": 9648; ""name"": ""Mystery""}]",,en,The Fugitive,Wrongfully accused of murdering his wife; Richard Kimble escapes from the law in an attempt to find her killer and clear his name. Pursuing him is a team of U.S. marshals led by Deputy Samuel Gerard; a determined detective who will not rest until Richard is captured. As Richard leads the team through a series of intricate chases; he discovers the secrets behind his wife's death and struggles to expose the killer before it is too late.,54.884297,"August 6, 1993",368875760,130,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,A murdered wife. A one-armed man. An obsessed detective. The chase begins.,The Fugitive,7.2,1220
12500000,"[{""id"": 28; ""name"": ""Action""}; {""id"": 53; ""name"": ""Thriller""}; {""id"": 80; ""name"": ""Crime""}; {""id"": 10749; ""name"": ""Romance""}]",,en,True Romance,Clarence marries hooker Alabama; steals cocaine from her pimp; and tries to sell it in Hollywood; while the owners of the coke try to reclaim it.,35.268557,"September 9, 1993",12281551,120,"[{""iso_639_1"": ""en""; ""name"": ""English""}; {""iso_639_1"": ""it""; ""name"": ""Italiano""}]",Released,Stealing; Cheating; Killing. Who said romance was dead?,True Romance,7.5,749
6900000,"[{""id"": 35; ""name"": ""Comedy""}; {""id"": 18; ""name"": ""Drama""}]",,en,Dazed and Confused,"The adventures of a group of Texas teens on their last day of school in 1976; centering on student Randall Floyd; who moves easily among stoners; jocks and geeks. Floyd is a star athlete; but he also likes smoking weed; which presents a conundrum when his football coach demands he sign a ""no drugs"" pledge.",26.181753,"September 24, 1993",7993039,102,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,See it with a bud.,Dazed and Confused,7.4,583
14000000,"[{""id"": 35; ""name"": ""Comedy""}]",,en,Cool Runnings,When a Jamaican sprinter is disqualified from the Olympic Games; he enlists the help of a dishonored coach to start the first Jamaican Bobsled Team.,22.409117,"September 30, 1993",154864401,98,"[{""iso_639_1"": ""en""; ""name"": ""English""}; {""iso_639_1"": ""fr""; ""name"": ""Fran\u00e7ais""}; {""iso_639_1"": ""de""; ""name"": ""Deutsch""}; {""iso_639_1"": ""ru""; ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,One dream. Four Jamaicans. Twenty below zero.,Cool Runnings,6.8,491
11500000,"[{""id"": 18; ""name"": ""Drama""}; {""id"": 10749; ""name"": ""Romance""}]",,en,The Remains of the Day,A rule bound head butler's world of manners and decorum in the household he maintains is tested by the arrival of a housekeeper who falls in love with him in post-WWI Britain. The possibility of romance and his master's cultivation of ties with the Nazi cause challenge his carefully maintained veneer of servitude.,15.355589,"November 5, 1993",23237911,134,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,Diamond in the Rough,The Remains of the Day,7.5,202
25000000,"[{""id"": 35; ""name"": ""Comedy""}; {""id"": 18; ""name"": ""Drama""}; {""id"": 10751; ""name"": ""Family""}]",,en,Mrs. Doubtfire,Loving but irresponsible dad Daniel Hillard; estranged from his exasperated spouse; is crushed by a court order allowing only weekly visits with his kids. When Daniel learns his ex needs a housekeeper; he gets the job -- disguised as an English nanny. Soon he becomes not only his children's best pal but the kind of parent he should have been from the start.,30.884535,"November 24, 1993",441286195,125,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,She makes dinner. She does windows. She reads bedtime stories. She's a blessing... in disguise.,Mrs. Doubtfire,7,1591
22000000,"[{""id"": 18; ""name"": ""Drama""}; {""id"": 36; ""name"": ""History""}; {""id"": 10752; ""name"": ""War""}]",http://www.schindlerslist.com/,en,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,104.469351,"November 29, 1993",321365567,195,"[{""iso_639_1"": ""de""; ""name"": ""Deutsch""}; {""iso_639_1"": ""pl""; ""name"": ""Polski""}; {""iso_639_1"": ""he""; ""name"": ""\u05e2\u05b4\u05d1\u05b0\u05e8\u05b4\u05d9\u05ea""}; {""iso_639_1"": ""en""; ""name"": ""English""}]",Released,Whoever saves one life; saves the world entire.,Schindler's List,8.3,4329
45000000,"[{""id"": 18; ""name"": ""Drama""}; {""id"": 9648; ""name"": ""Mystery""}; {""id"": 53; ""name"": ""Thriller""}; {""id"": 80; ""name"": ""Crime""}]",,en,The Pelican Brief,Two Supreme Court Justices have been assassinated. One lone law student has stumbled upon the truth. An investigative journalist wants her story. Everybody else wants her dead.,17.923254,"December 16, 1993",195268056,141,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,Two Supreme Court Justices have been assassinated. One lone law student has stumbled upon the truth. An investigative journalist wants her story. Everybody else wants her dead.,The Pelican Brief,6.3,371
11000000,"[{""id"": 10749; ""name"": ""Romance""}; {""id"": 18; ""name"": ""Drama""}]",,en,What's Eating Gilbert Grape,Gilbert has to care for his brother Arnie and his obese mother; which gets in the way when love walks into his life.,33.282794,"December 17, 1993",30000000,118,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,A film about the love you find...In the last place you look.,What's Eating Gilbert Grape,7.5,919
26000000,"[{""id"": 18; ""name"": ""Drama""}]",,en,Philadelphia,No one would take his case until one man was willing to take on the system. Two competing lawyers join forces to sue a prestigious law firm for AIDS discrimination. As their unlikely friendship develops their courage overcomes the prejudice and corruption of their powerful adversaries.,44.301745,"December 22, 1993",206678440,125,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,No one would take on his case... until one man was willing to take on the system.,Philadelphia,7.6,988
25000000,"[{""id"": 28; ""name"": ""Action""}; {""id"": 12; ""name"": ""Adventure""}; {""id"": 18; ""name"": ""Drama""}; {""id"": 36; ""name"": ""History""}; {""id"": 37; ""name"": ""Western""}]",,en,Tombstone,Legendary marshal Wyatt Earp; now a weary gunfighter; joins his brothers Morgan and Virgil to pursue their collective fortune in the thriving mining town of Tombstone. But Earp is forced to don a badge again and get help from his notorious pal Doc Holliday when a gang of renegade brigands and rustlers begins terrorizing the town.,30.537845,"December 25, 1993",56505065,130,"[{""iso_639_1"": ""en""; ""name"": ""English""}; {""iso_639_1"": ""la""; ""name"": ""Latin""}; {""iso_639_1"": ""es""; ""name"": ""Espa\u00f1ol""}]",Released,Justice is coming.,Tombstone,7.4,626
15000000,"[{""id"": 35; ""name"": ""Comedy""}; {""id"": 9648; ""name"": ""Mystery""}]",,en,Ace Ventura: Pet Detective,He's Ace Ventura: Pet Detective. Jim Carrey is on the case to find the Miami Dolphins' missing mascot and quarterback Dan Marino. He goes eyeball to eyeball with a man-eating shark; stakes out the Miami Dolphins and woos and wows the ladies. Whether he's undercover; under fire or underwater; he always gets his man . . . or beast!,41.249004,"February 4, 1994",107217396,86,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,He's the best there is! (Actually; he's the only one there is.),Ace Ventura: Pet Detective,6.4,1648
6000000,"[{""id"": 35; ""name"": ""Comedy""}; {""id"": 18; ""name"": ""Drama""}; {""id"": 10749; ""name"": ""Romance""}]",http://workingtitlefilms.com/film.php?filmID=59,en,Four Weddings and a Funeral,Four Weddings And A Funeral is a British comedy about a British Man named Charles and an American Woman named Carrie who go through numerous weddings before they determine if they are right for one another.,29.834065,"March 9, 1994",254700832,117,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,Five good reasons to stay single.,Four Weddings and a Funeral,6.6,632
30000000,"[{""id"": 35; ""name"": ""Comedy""}; {""id"": 18; ""name"": ""Drama""}]",,en,The Hudsucker Proxy,A naive business graduate is installed as president of a manufacturing company as part of a stock scam.,14.188982,"March 11, 1994",0,111,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,They took him for a fall guy... but he threw them for a hoop.,The Hudsucker Proxy,7.1,275
30000000,"[{""id"": 35; ""name"": ""Comedy""}; {""id"": 80; ""name"": ""Crime""}]",,en,The Naked Gun 33⅓: The Final Insult,Frank Drebin is persuaded out of retirement to go undercover in a state prison. There he is to find out what top terrorist; Rocco; has planned for when he escapes. Frank's wife; Jane; is desperate for a baby.. this adds to Frank's problems. A host of celebrities at the Academy awards ceremony are humiliated by Frank as he blunders his way trying to foil Rocco.,28.624038,"March 18, 1994",51132598,83,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,A Mad Bomber is on the Loose; and If Anyone Can Stop Him....So Can Frank!,The Naked Gun 33⅓: The Final Insult,6.3,521
15000000,"[{""id"": 14; ""name"": ""Fantasy""}; {""id"": 28; ""name"": ""Action""}; {""id"": 53; ""name"": ""Thriller""}]",,en,The Crow,Exactly one year after young rock guitarist Eric Draven and his fiancée are brutally killed by a ruthless gang of criminals; Draven -- watched over by a hypnotic crow -- returns from the grave to exact revenge.,44.690107,"May 11, 1994",94000000,102,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,Real love is forever.,The Crow,7.3,953
50000000,"[{""id"": 28; ""name"": ""Action""}; {""id"": 35; ""name"": ""Comedy""}; {""id"": 80; ""name"": ""Crime""}]",,en,Beverly Hills Cop III,Back in sunny southern California and on the trail of two murderers; Axel Foley again teams up with LA cop Billy Rosewood. Soon; they discover that an amusement park is being used as a front for a massive counterfeiting ring – and it's run by the same gang that shot Billy's boss.,20.333953,"May 24, 1994",119208989,104,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,,Beverly Hills Cop III,5.5,434
46000000,"[{""id"": 14; ""name"": ""Fantasy""}; {""id"": 35; ""name"": ""Comedy""}; {""id"": 10751; ""name"": ""Family""}]",,en,The Flintstones,Modern Stone Age family the Flintstones hit the big screen in this live-action version of the classic cartoon. Fred helps Barney adopt a child. Barney sees an opportunity to repay him when Slate Mining tests its employees to find a new executive. But no good deed goes unpunished.,28.964162,"May 26, 1994",341631208,91,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,Yabba-Dabba-Doo!,The Flintstones,5,543
30000000,"[{""id"": 28; ""name"": ""Action""}; {""id"": 12; ""name"": ""Adventure""}; {""id"": 80; ""name"": ""Crime""}]",,en,Speed,Los Angeles SWAT cop Jack Traven is up against bomb expert Howard Payne; who's after major ransom money. First it's a rigged elevator in a very tall building. Then it's a rigged bus--if it slows; it will blow; bad enough any day; but a nightmare in LA traffic. And that's still not the end.,49.526736,"June 9, 1994",350448145,116,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,Get ready for rush hour,Speed,6.8,1783
45000000,"[{""id"": 10751; ""name"": ""Family""}; {""id"": 16; ""name"": ""Animation""}; {""id"": 18; ""name"": ""Drama""}]",http://movies.disney.com/the-lion-king,en,The Lion King,A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it.,90.457886,"June 23, 1994",788241776,89,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,Life's greatest adventure is finding your place in the Circle of Life.,The Lion King,8,5376
63000000,"[{""id"": 18; ""name"": ""Drama""}; {""id"": 28; ""name"": ""Action""}; {""id"": 37; ""name"": ""Western""}]",,en,Wyatt Earp,Covering the life and times of one of the West's most iconic heroes Wyatt Earp weaves an intricate tale of Earp and his friends and family. With a star studded cast; sweeping cinematography and authentic costumes Wyatt Earp led the way during the Western revival in the 90's.,13.859307,"June 24, 1994",25052000,191,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,The epic story of love and adventure in a lawless land.,Wyatt Earp,6.5,202
50000000,"[{""id"": 28; ""name"": ""Action""}; {""id"": 12; ""name"": ""Adventure""}; {""id"": 35; ""name"": ""Comedy""}; {""id"": 10751; ""name"": ""Family""}]",,en,Baby's Day Out,Baby Bink couldn't ask for more; he has adoring (if somewhat sickly-sweet) parents; he lives in a huge mansion; and he's just about to appear in the social pages of the paper. Unfortunately; not everyone in the world is as nice as Baby Bink's parents; especially the three enterprising kidnapers who pretend to be photographers from the newspaper. Successfully kidnaping Baby Bink; they have a harder time keeping hold of the rascal; who not only keeps one step ahead of them; but seems to be more than a little bit smarter than the three bumbling criminals.,21.312186,"July 1, 1994",16671505,99,"[{""iso_639_1"": ""en""; ""name"": ""English""}; {""iso_639_1"": ""fr""; ""name"": ""Fran\u00e7ais""}; {""iso_639_1"": ""de""; ""name"": ""Deutsch""}]",Released,No bib. No crib. No problem.,Baby's Day Out,5.8,274
55000000,"[{""id"": 35; ""name"": ""Comedy""}; {""id"": 18; ""name"": ""Drama""}; {""id"": 10749; ""name"": ""Romance""}]",,en,Forrest Gump,A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case; far exceeding what anyone imagined he could do. Yet; despite all the things he has attained; his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges; and who proved that determination; courage; and love are more important than ability.,138.133331,"July 6, 1994",677945399,142,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,The world will never be the same; once you've seen it through the eyes of Forrest Gump.,Forrest Gump,8.2,7927
115000000,"[{""id"": 28; ""name"": ""Action""}; {""id"": 53; ""name"": ""Thriller""}]",,en,True Lies,Harry Tasker is a secret agent for the United States Government. For years; he has kept his job from his wife; but is forced to reveal his identity and try to stop nuclear terrorists when he and his wife are kidnapped by them.,38.729418,"July 14, 1994",378882411,141,"[{""iso_639_1"": ""en""; ""name"": ""English""}; {""iso_639_1"": ""fr""; ""name"": ""Fran\u00e7ais""}; {""iso_639_1"": ""ar""; ""name"": ""\u0627\u0644\u0639\u0631\u0628\u064a\u0629""}; {""iso_639_1"": ""de""; ""name"": ""Deutsch""}]",Released,When he said I do; he never said what he did.,True Lies,6.8,1116
45000000,"[{""id"": 18; ""name"": ""Drama""}; {""id"": 53; ""name"": ""Thriller""}; {""id"": 80; ""name"": ""Crime""}; {""id"": 9648; ""name"": ""Mystery""}]",,en,The Client,A street-wise kid; Mark Sway; sees the suicide of Jerome Clifford; a prominent Louisiana lawyer; whose current client is Barry 'The Blade' Muldano; a Mafia hit-man. Before Jerome shoots himself; he tells Mark where the body of a Senator is buried. Clifford shoots himself and Mark is found at the scene; and both the FBI and the Mafia quickly realize that Mark probably knows more than he says.,17.746719,"July 20, 1994",117615211,119,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,A district attorney out for a conviction. A new lawyer out of her league. A young boy who knew too much.,The Client,6.4,278
23000000,"[{""id"": 10749; ""name"": ""Romance""}; {""id"": 35; ""name"": ""Comedy""}; {""id"": 80; ""name"": ""Crime""}; {""id"": 14; ""name"": ""Fantasy""}]",,en,The Mask,When timid bank clerk Stanley Ipkiss discovers a magical mask containing the spirit of the Norse god Loki; his entire life changes. While wearing the mask; Ipkiss becomes a supernatural playboy exuding charm and confidence which allows him to catch the eye of local nightclub singer Tina Carlyle. Unfortunately; under the mask's influence; Ipkiss also robs a bank; which angers junior crime lord Dorian Tyrell; whose goons get blamed for the heist.,85.30318,"July 29, 1994",351583407,101,"[{""iso_639_1"": ""sv""; ""name"": ""svenska""}; {""iso_639_1"": ""en""; ""name"": ""English""}]",Released,From zero to hero.,The Mask,6.6,2472
62000000,"[{""id"": 28; ""name"": ""Action""}; {""id"": 18; ""name"": ""Drama""}; {""id"": 53; ""name"": ""Thriller""}]",,en,Clear and Present Danger,CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.,18.832471,"August 3, 1994",215887717,141,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,The war of drugs would lead him to the war of power.,Clear and Present Danger,6.4,386
5000000,"[{""id"": 18; ""name"": ""Drama""}; {""id"": 14; ""name"": ""Fantasy""}]",http://www.miramax.com/movie/heavenly-creatures,en,Heavenly Creatures,Based on the true story of Juliet Hulme and Pauline Parker; two close friends who share a love of fantasy and literature; who conspire to kill Pauline's mother when she tries to end the girls' intense and obsessive relationship.,8.753409,"September 2, 1994",3049135,99,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,From a secret world no one could see... came a crime no one could believe.,Heavenly Creatures,7,294
27000,"[{""id"": 35; ""name"": ""Comedy""}]",http://www.miramax.com/movie/clerks/,en,Clerks,Convenience and video store clerks Dante and Randal are sharp-witted; potty-mouthed and bored out of their minds. So in between needling customers; the counter jockeys play hockey on the roof; visit a funeral home and deal with their love lives.,19.748658,"September 13, 1994",3151130,92,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,Just because they serve you doesn't mean they like you.,Clerks,7.4,755
27000000,"[{""id"": 53; ""name"": ""Thriller""}; {""id"": 878; ""name"": ""Science Fiction""}; {""id"": 28; ""name"": ""Action""}; {""id"": 80; ""name"": ""Crime""}]",,en,Timecop,An officer for a security agency that regulates time travel; must fend for his life against a shady politician who has a tie to his past.,13.308127,"September 15, 1994",101646581,99,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,They killed his wife ten years ago. There's still time to save her. Murder is forever... until now.,Timecop,5.5,282
25000000,"[{""id"": 18; ""name"": ""Drama""}; {""id"": 80; ""name"": ""Crime""}]",,en,The Shawshank Redemption,Framed in the 1940s for the double murder of his wife and her lover; upstanding banker Andy Dufresne begins a new life at the Shawshank prison; where he puts his accounting skills to work for an amoral warden. During his long stretch in prison; Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.,136.747729,"September 23, 1994",28341469,142,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,Fear can hold you prisoner. Hope can set you free.,The Shawshank Redemption,8.5,8205
18000000,"[{""id"": 35; ""name"": ""Comedy""}; {""id"": 18; ""name"": ""Drama""}; {""id"": 36; ""name"": ""History""}]",,en,Ed Wood,"The mostly true story of the legendary ""worst director of all time""; who; with the help of his strange friends; filmed countless B-movies without ever becoming famous or successful.",24.548633,"September 27, 1994",5887457,127,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,When it came to making bad movies; Ed Wood was the best.,Ed Wood,7.3,630
45000000,"[{""id"": 28; ""name"": ""Action""}; {""id"": 12; ""name"": ""Adventure""}; {""id"": 80; ""name"": ""Crime""}; {""id"": 53; ""name"": ""Thriller""}]",,en,The River Wild,While on a family vacation;  rafting expert Gail takes on a pair of armed killers while navigating a spectacularly violent river.,12.362876,"September 30, 1994",0,111,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,The vacation is over,The River Wild,6.1,210
45000000,"[{""id"": 28; ""name"": ""Action""}; {""id"": 53; ""name"": ""Thriller""}]",,en,The Specialist,May Munro is a woman obsessed with getting revenge on the people who murdered her parents when she was still a girl. She hires Ray Quick; a retired explosives expert to kill her parent's killers. When Ned Trent; embittered ex-partner of Quick's is assigned to protect one of Quick's potential victims; a deadly game of cat and mouse ensues.,16.582709,"October 7, 1994",170362582,110,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,The government taught him to kill. Now he's using his skills to help a woman seek revenge against the Miami underworld.,The Specialist,5.5,313
8000000,"[{""id"": 53; ""name"": ""Thriller""}; {""id"": 80; ""name"": ""Crime""}]",,en,Pulp Fiction,A burger-loving hit man; his philosophical partner; a drug-addled gangster's moll and a washed-up boxer converge in this sprawling; comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.,121.463076,"October 8, 1994",213928762,154,"[{""iso_639_1"": ""en""; ""name"": ""English""}; {""iso_639_1"": ""es""; ""name"": ""Espa\u00f1ol""}; {""iso_639_1"": ""fr""; ""name"": ""Fran\u00e7ais""}]",Released,Just because you are a character doesn't mean you have character.,Pulp Fiction,8.3,8428
14000000,"[{""id"": 27; ""name"": ""Horror""}; {""id"": 53; ""name"": ""Thriller""}; {""id"": 9648; ""name"": ""Mystery""}; {""id"": 14; ""name"": ""Fantasy""}]",,en,New Nightmare,Freddy's back … and he's badder than ever! Nancy; the historical nemesis of the man with the satanic snarl and pitchfork fingers; discovers that a new monstrous demon has taken on Freddy's persona. Can Nancy stop this new threat in time to save her son?,14.730796,"October 13, 1994",18090181,112,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,One; Two; Freddy's coming for you...,New Nightmare,6.4,291
22000000,"[{""id"": 14; ""name"": ""Fantasy""}; {""id"": 18; ""name"": ""Drama""}; {""id"": 35; ""name"": ""Comedy""}; {""id"": 10751; ""name"": ""Family""}]",,en,The Santa Clause,Scott Calvin is an ordinary man; who accidentally causes Santa Claus to fall from his roof on Christmas Eve and is knocked unconscious. When he and his young son finish Santa's trip and deliveries; they go to the North Pole; where Scott learns he must become the new Santa and convince those he loves that he is indeed; Father Christmas.,16.234053,"November 10, 1994",189833357,97,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,What if your dad was Santa Claus?,The Santa Clause,6.3,489
