"","carat","cut","color","clarity","depth","table","price","x","y","z"
"357",0.57,"Fair","E","VVS1",58.7,66,2805,5.34,5.43,3.16
"358",0.73,"Premium","F","VS2",62.5,57,2805,5.75,5.7,3.58
"359",0.72,"Ideal","G","VS2",62.8,56,2805,5.74,5.7,3.59
"360",0.74,"Fair","F","VS2",61.1,68,2805,5.82,5.75,3.53
"361",0.82,"Good","G","VS2",64,57,2805,5.92,5.89,3.78
"362",0.81,"Very Good","G","SI1",62.5,60,2806,5.89,5.94,3.69
"363",0.75,"Very Good","H","VVS1",60.6,58,2806,5.85,5.9,3.56
"364",0.7,"Ideal","F","SI1",61.6,55,2806,5.72,5.74,3.53
"365",0.71,"Very Good","F","VS1",62.2,58,2807,5.66,5.72,3.54
"366",0.71,"Very Good","F","VS1",60,57,2807,5.84,5.9,3.52
"367",0.93,"Premium","J","SI2",61.9,57,2807,6.21,6.19,3.84
"368",0.8,"Very Good","H","VS2",62.8,57,2808,5.87,5.91,3.7
"369",0.7,"Very Good","F","VS1",62,57,2808,5.64,5.71,3.52
"370",1,"Fair","G","I1",66.4,59,2808,6.16,6.09,4.07
"371",0.75,"Very Good","G","VS2",63.4,56,2808,5.78,5.74,3.65
"372",0.58,"Ideal","E","VVS2",60.9,56,2808,5.41,5.43,3.3
"373",0.73,"Very Good","D","SI1",63.1,57,2808,5.74,5.7,3.61
"374",0.81,"Very Good","F","SI1",63.1,59,2809,5.85,5.79,3.67
"375",0.81,"Premium","D","SI2",59.2,57,2809,6.15,6.05,3.61
"376",0.71,"Premium","F","SI1",60.7,54,2809,5.84,5.8,3.53
"377",1.2,"Fair","F","I1",64.6,56,2809,6.73,6.66,4.33
"378",0.7,"Very Good","F","VS1",61.8,56,2810,5.63,5.7,3.5
"379",0.7,"Very Good","F","VS1",59.9,60,2810,5.77,5.84,3.48
"380",0.74,"Ideal","D","SI2",61.7,55,2810,5.81,5.85,3.6
"381",0.7,"Good","F","VS1",62.8,61,2810,5.57,5.61,3.51
"382",0.8,"Good","G","SI1",62.7,57,2810,5.84,5.93,3.69
"383",0.75,"Very Good","F","SI1",63.4,58,2811,5.72,5.76,3.64
"384",0.83,"Very Good","D","SI1",63.5,54,2811,5.98,5.95,3.79
"385",1,"Fair","J","VS2",65.7,59,2811,6.14,6.07,4.01
"386",0.99,"Fair","I","SI2",68.1,56,2811,6.21,6.06,4.18
"387",0.7,"Very Good","G","VS1",63,60,2812,5.57,5.64,3.53
"388",0.7,"Very Good","F","VS2",59.5,58,2812,5.75,5.85,3.45
"389",0.7,"Good","E","SI1",63.5,59,2812,5.49,5.53,3.5
"390",0.7,"Very Good","F","VS2",61.7,58,2812,5.63,5.69,3.49
"391",0.32,"Premium","I","SI1",62.7,58,554,4.37,4.34,2.73
"392",0.32,"Premium","I","SI1",62.8,58,554,4.39,4.34,2.74
"393",0.32,"Ideal","I","SI1",62.4,57,554,4.37,4.35,2.72
"394",0.32,"Premium","I","SI1",61,59,554,4.39,4.36,2.67
"395",0.32,"Very Good","I","SI1",63.1,56,554,4.39,4.36,2.76
"396",0.32,"Ideal","I","SI1",60.7,57,554,4.47,4.42,2.7
"397",0.3,"Premium","H","SI1",60.9,59,554,4.31,4.29,2.62
"398",0.3,"Premium","H","SI1",60.1,55,554,4.41,4.38,2.64
"399",0.3,"Premium","H","SI1",62.9,58,554,4.28,4.24,2.68
"400",0.3,"Very Good","H","SI1",63.3,56,554,4.29,4.27,2.71
