budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
11000000,"[{""id"": 18, ""name"": ""Drama""}]",,687,"[{""id"": 378, ""name"": ""prison""}, {""id"": 570, ""name"": ""rape""}, {""id"": 1952, ""name"": ""socially deprived family""}, {""id"": 2060, ""name"": ""penalty""}, {""id"": 2122, ""name"": ""death penalty""}, {""id"": 2300, ""name"": ""despair""}, {""id"": 2501, ""name"": ""death row""}, {""id"": 2538, ""name"": ""begnadigung""}, {""id"": 2726, ""name"": ""therapist""}, {""id"": 2796, ""name"": ""self-discovery""}, {""id"": 2885, ""name"": ""prison cell""}, {""id"": 3012, ""name"": ""court case""}, {""id"": 3437, ""name"": ""death sentence""}, {""id"": 3440, ""name"": ""doomed man""}, {""id"": 3441, ""name"": ""sentence""}, {""id"": 3442, ""name"": ""lethal injection""}, {""id"": 3446, ""name"": ""forgiveness""}, {""id"": 3447, ""name"": ""charity""}, {""id"": 3448, ""name"": ""mercy petition""}, {""id"": 3927, ""name"": ""rage and hate""}, {""id"": 6059, ""name"": ""unsociability""}, {""id"": 6145, ""name"": ""right and justice""}, {""id"": 6148, ""name"": ""court""}, {""id"": 11263, ""name"": ""electric chair""}, {""id"": 13001, ""name"": ""cowardliness""}]",en,Dead Man Walking,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,15.864928,"[{""name"": ""Havoc"", ""id"": 406}, {""name"": ""PolyGram Filmed Entertainment"", ""id"": 1382}, {""name"": ""Working Title Films"", ""id"": 10163}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",12/29/1995,39363635,122,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,Dead Man Walking,7.3,337
4000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",http://www.miramax.com/movie/trainspotting/,627,"[{""id"": 212, ""name"": ""london england""}, {""id"": 567, ""name"": ""alcohol""}, {""id"": 572, ""name"": ""sex""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 1803, ""name"": ""drug addiction""}, {""id"": 2231, ""name"": ""drug dealer""}, {""id"": 2334, ""name"": ""nightclub""}, {""id"": 2375, ""name"": ""junkie""}, {""id"": 2671, ""name"": ""heroin""}, {""id"": 2694, ""name"": ""cold turkey""}, {""id"": 3131, ""name"": ""modern society""}, {""id"": 3298, ""name"": ""hallucination""}, {""id"": 6054, ""name"": ""friendship""}, {""id"": 9887, ""name"": ""surrealism""}, {""id"": 10123, ""name"": ""dark comedy""}, {""id"": 10261, ""name"": ""stealing""}, {""id"": 11635, ""name"": ""monologue""}, {""id"": 34117, ""name"": ""cult film""}, {""id"": 155936, ""name"": ""recovering drug addict""}, {""id"": 156117, ""name"": ""illegal drugs""}, {""id"": 168179, ""name"": ""drug deal""}, {""id"": 180431, ""name"": ""drug rehabilitation""}, {""id"": 206829, ""name"": ""drug culture""}, {""id"": 230607, ""name"": ""antihero""}]",en,Trainspotting,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",63.513324,"[{""name"": ""Miramax Films"", ""id"": 14}, {""name"": ""Channel Four Films"", ""id"": 181}, {""name"": ""Noel Gay Motion Picture Company"", ""id"": 358}, {""name"": ""Figment Films"", ""id"": 359}, {""name"": ""Film4"", ""id"": 9349}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",2/23/1996,16491080,93,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Choose life.,Trainspotting,7.8,2655
40000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",,1645,"[{""id"": 529, ""name"": ""ku klux klan""}, {""id"": 570, ""name"": ""rape""}, {""id"": 787, ""name"": ""mississippi""}, {""id"": 1417, ""name"": ""jurors""}, {""id"": 1936, ""name"": ""blackmail""}, {""id"": 2013, ""name"": ""attempted murder""}, {""id"": 3446, ""name"": ""forgiveness""}, {""id"": 6148, ""name"": ""court""}, {""id"": 7281, ""name"": ""shooting""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 9937, ""name"": ""suspense""}, {""id"": 10909, ""name"": ""lawyer""}, {""id"": 11038, ""name"": ""trial""}, {""id"": 33519, ""name"": ""courtroom""}, {""id"": 41385, ""name"": ""racial tension""}, {""id"": 191314, ""name"": ""kkk""}, {""id"": 204173, ""name"": ""racial issues""}, {""id"": 214780, ""name"": ""courtroom drama""}]",en,A Time to Kill,"A young lawyer defends a black man accused of murdering two men who raped his 10-year-old daughter, sparking a rebirth of the KKK.",25.219805,"[{""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Warner Bros."", ""id"": 6194}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",7/24/1996,152266007,149,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Experience a time you'll never forget.,A Time to Kill,7,509
1000000,"[{""id"": 18, ""name"": ""Drama""}]",,12498,"[{""id"": 10183, ""name"": ""independent film""}, {""id"": 170630, ""name"": ""repair shop""}, {""id"": 170633, ""name"": ""southern""}, {""id"": 170646, ""name"": ""death threat""}, {""id"": 170647, ""name"": ""story""}, {""id"": 170648, ""name"": ""religious art""}, {""id"": 170652, ""name"": ""father figure""}]",en,Sling Blade,"Karl Childers is a mentally disabled man who has been in the custody of the state mental hospital since the age of 12 for killing his mother and her lover. Although thoroughly institutionalized, Karl is deemed fit to be released into the outside world.",14.805264,"[{""name"": ""Miramax Films"", ""id"": 14}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",8/30/1996,24475416,135,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,A simple man. A difficult choice.,Sling Blade,7.4,231
2400000,"[{""id"": 18, ""name"": ""Drama""}]",,49471,"[{""id"": 521, ""name"": ""washington d.c.""}, {""id"": 992, ""name"": ""bus""}, {""id"": 165461, ""name"": ""march""}]",en,Get on the Bus,"Get On the Bus follows several Black men on a cross country bus trip to the Million Man March. On the bus are an eclectic set of characters including a laid off aircraft worker, a former Gang Banger, a Hollywood actor, a cop who is of mixed racial background, and a White bus driver, all make the trek discussing issues surrounding the march, manhood, religion, politics, and race.",4.623059,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""40 Acres & A Mule Filmworks"", ""id"": 4319}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",10/16/1996,5731103,120,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"On October 16, 1996, the one year anniversary of the Million Man March, Spike Lee invites you to lift your head, raise your voice, and...get on the bus.",Get on the Bus,7,11
44000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",,819,"[{""id"": 516, ""name"": ""child abuse""}, {""id"": 625, ""name"": ""sadistic""}, {""id"": 739, ""name"": ""sexual abuse""}, {""id"": 1499, ""name"": ""pastor""}, {""id"": 1522, ""name"": ""repayment""}, {""id"": 2400, ""name"": ""juvenile prison""}, {""id"": 3012, ""name"": ""court case""}, {""id"": 5319, ""name"": ""pub""}, {""id"": 6148, ""name"": ""court""}, {""id"": 14857, ""name"": ""juvenile delinquent""}, {""id"": 208349, ""name"": ""child""}]",en,Sleepers,Two gangsters seek revenge on the state jail worker who during their stay at a youth prison sexually abused them. A sensational court hearing takes place to charge him for the crimes. A moving drama from director Barry Levinson.,16.245068,"[{""name"": ""Propaganda Films"", ""id"": 278}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Baltimore Pictures"", ""id"": 11407}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",10/18/1996,165615285,147,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,When friendship runs deeper than blood.,Sleepers,7.3,715
27000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}]",,409,"[{""id"": 487, ""name"": ""cairo""}, {""id"": 1160, ""name"": ""egypt""}, {""id"": 1284, ""name"": ""identity""}, {""id"": 1453, ""name"": ""amnesia""}, {""id"": 1956, ""name"": ""world war ii""}, {""id"": 1959, ""name"": ""burn""}, {""id"": 1961, ""name"": ""landmine""}, {""id"": 1963, ""name"": ""expedition""}, {""id"": 1964, ""name"": ""cave""}, {""id"": 1965, ""name"": ""sandstorm""}, {""id"": 1966, ""name"": ""royal geographic society""}, {""id"": 1967, ""name"": ""cave painting""}, {""id"": 1968, ""name"": ""prisoners of war""}, {""id"": 1969, ""name"": ""map""}, {""id"": 1971, ""name"": ""mine clearer""}, {""id"": 1972, ""name"": ""hearing""}, {""id"": 2050, ""name"": ""desert scientist""}, {""id"": 2051, ""name"": ""intelligence""}, {""id"": 2052, ""name"": ""traitor""}, {""id"": 2053, ""name"": ""mural painting""}, {""id"": 3800, ""name"": ""airplane""}, {""id"": 7879, ""name"": ""secret love""}]",en,The English Patient,"Beginning in the 1930s, ""The English Patient"" tells the story of Count Almsy who is a Hungarian map maker employed by the Royal Geographical Society to chart the vast expanses of the Sahara Desert along with several other prominent explorers. As World War II unfolds, Almsy enters into a world of love, betrayal, and politics that is later revealed in a series of flashbacks while Almsy is on his death bed after being horribly burned in a plane crash.",29.381878,"[{""name"": ""Miramax Films"", ""id"": 14}, {""name"": ""Tiger Moth Productions"", ""id"": 12204}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",11/14/1996,231976425,162,"[{""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""ar"", ""name"": ""\u0627\u0644\u0639\u0631\u0628\u064a\u0629""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"In love, there are no boundaries.",The English Patient,7,542
46000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.startrek.com/startrek/view/series/MOV/008/index.html,199,"[{""id"": 503, ""name"": ""federation""}, {""id"": 505, ""name"": ""starfleet""}, {""id"": 522, ""name"": ""borg""}, {""id"": 671, ""name"": ""enterprise-e""}, {""id"": 679, ""name"": ""cyborg""}, {""id"": 680, ""name"": ""montana""}, {""id"": 836, ""name"": ""resistance""}, {""id"": 1436, ""name"": ""inventor""}, {""id"": 1522, ""name"": ""repayment""}, {""id"": 1523, ""name"": ""obsession""}, {""id"": 49960, ""name"": ""business start-up""}, {""id"": 161176, ""name"": ""space opera""}]",en,Star Trek: First Contact,"The Borg, a relentless race of cyborgs, are on a direct course for Earth. Violating orders to stay away from the battle, Captain Picard and the crew of the newly-commissioned USS Enterprise E pursue the Borg back in time to prevent the invaders from changing Federation history and assimilating the galaxy.",25.6713,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Digital Image Associates"", ""id"": 76068}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",11/21/1996,150000000,111,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Resistance is futile.,Star Trek: First Contact,7,661
14000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}]",,4232,"[{""id"": 3335, ""name"": ""halloween""}, {""id"": 10292, ""name"": ""gore""}, {""id"": 10714, ""name"": ""serial killer""}, {""id"": 12339, ""name"": ""slasher""}, {""id"": 157380, ""name"": ""tabloid""}, {""id"": 157384, ""name"": ""news reporter""}, {""id"": 160612, ""name"": ""self-referential""}, {""id"": 212435, ""name"": ""meta film""}]",en,Scream,"A killer known as Ghostface begins killing off teenagers, and as the body count begins rising, one girl and her friends find themselves contemplating the 'rules' of horror films as they find themselves living in a real-life one.",45.99611,"[{""name"": ""Woods Entertainment"", ""id"": 979}, {""name"": ""Dimension Films"", ""id"": 7405}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/20/1996,173046663,111,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Someone has taken their love of scary movies one step too far.,Scream,7,1476
35000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",,9366,"[{""id"": 1568, ""name"": ""undercover""}, {""id"": 2148, ""name"": ""colombia""}, {""id"": 10391, ""name"": ""mafia""}, {""id"": 11578, ""name"": ""mobster""}, {""id"": 11719, ""name"": ""dirty cop""}, {""id"": 167715, ""name"": ""informant""}, {""id"": 177554, ""name"": ""stealing money""}, {""id"": 177555, ""name"": ""marriage counselor""}, {""id"": 177565, ""name"": ""shaving cream""}, {""id"": 177571, ""name"": ""playing cards""}]",en,Donnie Brasco,An FBI undercover agent infilitrates the mob and finds himself identifying more with the mafia life at the expense of his regular one.,40.370442,"[{""name"": ""TriStar Pictures"", ""id"": 559}, {""name"": ""Mark Johnson Productions"", ""id"": 2604}, {""name"": ""Phoenix Pictures"", ""id"": 11317}, {""name"": ""Baltimore Pictures"", ""id"": 11407}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2/27/1997,41954997,127,"[{""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}]",Released,Based on a true story.,Donnie Brasco,7.4,1147
20000000,"[{""id"": 18, ""name"": ""Drama""}]",,16052,"[{""id"": 4344, ""name"": ""musical""}, {""id"": 164447, ""name"": ""tejano""}, {""id"": 164460, ""name"": ""elopement""}, {""id"": 164468, ""name"": ""bustier""}, {""id"": 164476, ""name"": ""fan club""}]",en,Selena,"In this biographical drama, Selena Quintanilla is born into a musical Mexican-American family in Texas. Her father, Abraham, realizes that his young daughter is talented and begins performing with her at small venues. She finds success and falls for her guitarist, Chris Perez, who draws the ire of her father. Seeking mainstream stardom, Selena begins recording an English-language album which, tragically, she would never complete.",6.92592,"[{""name"": ""Q Productions"", ""id"": 4729}, {""name"": ""Esparza / Katz Productions"", ""id"": 9313}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",3/21/1997,60000000,127,"[{""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Discover the true story of one of America's brightest stars... that faded too soon.,Selena,7,114
90000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",,18,"[{""id"": 402, ""name"": ""clone""}, {""id"": 444, ""name"": ""taxi""}, {""id"": 679, ""name"": ""cyborg""}, {""id"": 1160, ""name"": ""egypt""}, {""id"": 2964, ""name"": ""future""}, {""id"": 3622, ""name"": ""stowaway""}, {""id"": 3801, ""name"": ""space travel""}, {""id"": 4776, ""name"": ""race against time""}, {""id"": 6163, ""name"": ""arms dealer""}, {""id"": 9673, ""name"": ""love""}, {""id"": 9951, ""name"": ""alien""}, {""id"": 10093, ""name"": ""priest""}, {""id"": 10150, ""name"": ""end of the world""}, {""id"": 10842, ""name"": ""good vs evil""}, {""id"": 10950, ""name"": ""shootout""}, {""id"": 11148, ""name"": ""police chase""}, {""id"": 11290, ""name"": ""cab driver""}, {""id"": 14512, ""name"": ""new york city""}, {""id"": 161176, ""name"": ""space opera""}, {""id"": 162365, ""name"": ""military""}, {""id"": 164920, ""name"": ""opera singer""}, {""id"": 169593, ""name"": ""resort hotel""}, {""id"": 172718, ""name"": ""ancient astronaut""}, {""id"": 223344, ""name"": ""archeologist""}, {""id"": 229863, ""name"": ""ancient evil""}, {""id"": 234630, ""name"": ""cruise liner""}]",en,The Fifth Element,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",109.528572,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Gaumont"", ""id"": 9}]","[{""iso_3166_1"": ""FR"", ""name"": ""France""}]",5/7/1997,263920180,126,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""sv"", ""name"": ""svenska""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]",Released,There is no future without it.,The Fifth Element,7.3,3885
90000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 9648, ""name"": ""Mystery""}]",http://www.warnerbros.com/contact,686,"[{""id"": 818, ""name"": ""based on novel""}, {""id"": 1432, ""name"": ""nasa""}, {""id"": 1508, ""name"": ""new mexico""}, {""id"": 1603, ""name"": ""extraterrestrial technology""}, {""id"": 2846, ""name"": ""prime number""}, {""id"": 3412, ""name"": ""star""}, {""id"": 3416, ""name"": ""radio wave""}, {""id"": 3417, ""name"": ""wormhole""}, {""id"": 3419, ""name"": ""fanatic""}, {""id"": 10706, ""name"": ""spirituality""}, {""id"": 11001, ""name"": ""religion""}, {""id"": 14760, ""name"": ""scientist""}, {""id"": 15246, ""name"": ""sabotage""}, {""id"": 159961, ""name"": ""ham radio""}, {""id"": 160515, ""name"": ""alien contact""}, {""id"": 162356, ""name"": ""mechanical engineering""}, {""id"": 162357, ""name"": ""observatory""}, {""id"": 226028, ""name"": ""eccentric man""}, {""id"": 226240, ""name"": ""radio telescope""}]",en,Contact,"Contact is a science fiction film about an encounter with alien intelligence. Based on the novel by Carl Sagan the film starred Jodie Foster as the one chosen scientist who must make some difficult decisions between her beliefs, the truth, and reality.",55.249434,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""South Side Amusement Company"", ""id"": 43910}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",7/11/1997,171120329,150,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"If it's just us, it seems like an awful waste of space.",Contact,7.2,1308
26500000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 16, ""name"": ""Animation""}]",,128,"[{""id"": 1721, ""name"": ""fight""}, {""id"": 1994, ""name"": ""wolf""}, {""id"": 3787, ""name"": ""village and town""}, {""id"": 5274, ""name"": ""iron""}, {""id"": 5275, ""name"": ""pan""}, {""id"": 5276, ""name"": ""wild boar""}, {""id"": 5277, ""name"": ""territory""}, {""id"": 6054, ""name"": ""friendship""}, {""id"": 7376, ""name"": ""princess""}, {""id"": 10842, ""name"": ""good vs evil""}, {""id"": 210024, ""name"": ""anime""}]",ja,,"Ashitaka, a prince of the disappearing Ainu tribe, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",60.732738,"[{""name"": ""Miramax Films"", ""id"": 14}, {""name"": ""Studio Ghibli"", ""id"": 10342}, {""name"": ""Nibariki"", ""id"": 12516}, {""name"": ""Nippon Television Network (NTV)"", ""id"": 20192}]","[{""iso_3166_1"": ""JP"", ""name"": ""Japan""}]",7/12/1997,159375308,134,"[{""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}]",Released,The Fate Of The World Rests On The Courage Of One Warrior.,Princess Mononoke,8.2,1983
20000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",,2639,"[{""id"": 242, ""name"": ""new york""}, {""id"": 5914, ""name"": ""writer's block""}, {""id"": 6255, ""name"": ""insanity""}, {""id"": 10183, ""name"": ""independent film""}, {""id"": 10818, ""name"": ""author""}]",en,Deconstructing Harry,"This film tells the story of a successful writer called Harry Block, played by Allen himself, who draws inspiration from people he knows in real-life, and from events that happened to him, sometimes causing these people to become alienated from him as a result.",11.352693,"[{""name"": ""Fine Line Features"", ""id"": 8}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",8/26/1997,10686841,96,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Harry Block has written a best seller... bout his best friends... he revealed their deepest secrets... and they're not pleased... now Harry Block is going to Hell...,Deconstructing Harry,7.3,187
36000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 10749, ""name"": ""Romance""}]",,782,"[{""id"": 856, ""name"": ""paraplegic""}, {""id"": 1252, ""name"": ""suicide attempt""}, {""id"": 1332, ""name"": ""cheating""}, {""id"": 1718, ""name"": ""dna""}, {""id"": 2345, ""name"": ""spaceman""}, {""id"": 2547, ""name"": ""new identity""}, {""id"": 2690, ""name"": ""heart disease""}, {""id"": 3864, ""name"": ""false identity""}, {""id"": 4035, ""name"": ""blood sample""}, {""id"": 4039, ""name"": ""biotechnology""}, {""id"": 4040, ""name"": ""space mission""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 5340, ""name"": ""investigation""}, {""id"": 6017, ""name"": ""genetics""}, {""id"": 6062, ""name"": ""hostility""}, {""id"": 33611, ""name"": ""exercise""}, {""id"": 158292, ""name"": ""eugenics""}, {""id"": 162988, ""name"": ""dystopic future""}]",en,Gattaca,"Science fiction drama about a future society in the era of indefinite eugenics where humans are set on a life course depending on their DNA. The young Vincent Freeman is born with a condition that would prevent him from space travel, yet he is determined to infiltrate the GATTACA space program.",70.398356,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Jersey Films"", ""id"": 216}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",9/7/1997,12532777,106,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""eo"", ""name"": ""Esperanto""}]",Released,There is no gene for the human spirit.,Gattaca,7.5,1808
10000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",,29193,"[{""id"": 811, ""name"": ""dialogue""}, {""id"": 2246, ""name"": ""confidence""}, {""id"": 3338, ""name"": ""invention""}, {""id"": 10183, ""name"": ""independent film""}]",en,The Spanish Prisoner,An employee of a corporation with a lucrative secret process is tempted to betray it. But there's more to it than that.,3.091077,"[{""name"": ""Jean Doumanian Productions"", ""id"": 16280}, {""name"": ""Sweetland Films"", ""id"": 21716}, {""name"": ""Magnolia Films"", ""id"": 65514}, {""name"": ""Jasmine Productions Inc."", ""id"": 65515}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",9/8/1997,13835130,110,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,It's the oldest con in the book.,The Spanish Prisoner,7.1,73
15000000,"[{""id"": 18, ""name"": ""Drama""}]",,4995,"[{""id"": 445, ""name"": ""pornography""}, {""id"": 572, ""name"": ""sex""}, {""id"": 2727, ""name"": ""porn actor""}, {""id"": 5593, ""name"": ""pornographic video""}, {""id"": 5626, ""name"": ""from rags to riches""}, {""id"": 14964, ""name"": ""drug""}, {""id"": 18321, ""name"": ""porn industry""}, {""id"": 158968, ""name"": ""gay lead character""}]",en,Boogie Nights,"Set in 1977, back when sex was safe, pleasure was a business and business was booming, idealistic porn producer Jack Horner aspires to elevate his craft to an art form. Horner discovers Eddie Adams, a hot young talent working as a busboy in a nightclub, and welcomes him into the extended family of movie-makers, misfits and hangers-on that are always around. Adams' rise from nobody to a celebrity adult entertainer is meteoric, and soon the whole world seems to know his porn alter ego, ""Dirk Diggler"". Now, when disco and drugs are in vogue, fashion is in flux and the party never seems to stop, Adams' dreams of turning sex into stardom are about to collide with cold, hard reality.",19.85579,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Ghoulardi Film Company"", ""id"": 178}, {""name"": ""Lawrence Gordon Productions"", ""id"": 840}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",9/11/1997,43101594,155,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"The life of a dreamer, the days of a business, and the nights in between.",Boogie Nights,7.5,796
70000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",,978,"[{""id"": 188, ""name"": ""buddhism""}, {""id"": 486, ""name"": ""himalaya""}, {""id"": 1201, ""name"": ""austria""}, {""id"": 1262, ""name"": ""mountains""}, {""id"": 1529, ""name"": ""buddhist monk""}, {""id"": 1956, ""name"": ""world war ii""}, {""id"": 1968, ""name"": ""prisoners of war""}, {""id"": 2385, ""name"": ""monsoon""}, {""id"": 4558, ""name"": ""tibet""}, {""id"": 4559, ""name"": ""dalai lama""}, {""id"": 4560, ""name"": ""mountaineer""}, {""id"": 4561, ""name"": ""lhasa""}, {""id"": 13027, ""name"": ""wedding""}]",en,Seven Years in Tibet,"Austrian mountaineer, Heinrich Harrer journeys to the Himalayas without his family to head an expedition in 1939. But when World War II breaks out, the arrogant Harrer falls into Allied forces' hands as a prisoner of war. He escapes with a fellow detainee and makes his way to Llaso, Tibet, where he meets the 14-year-old Dalai Lama, whose friendship ultimately transforms his outlook on life.",16.92991,"[{""name"": ""TriStar Pictures"", ""id"": 559}, {""name"": ""Mandalay Entertainment"", ""id"": 1236}, {""name"": ""Applecross"", ""id"": 57435}, {""name"": ""Reperage & Vanguard Films"", ""id"": 57436}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",9/12/1997,131457682,136,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,At the end of the world his real journey began.,Seven Years in Tibet,7,630
50000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}]",,2649,"[{""id"": 380, ""name"": ""brother brother relationship""}, {""id"": 1421, ""name"": ""birthday""}, {""id"": 3883, ""name"": ""danger of life""}, {""id"": 5732, ""name"": ""birthday party""}, {""id"": 173303, ""name"": ""surprising""}]",en,The Game,"In honor of his birthday, San Francisco banker Nicholas Van Orton, a financial genius and a coldhearted loner, receives an unusual present from his younger brother, Conrad -- a gift certificate to play a unique kind of game. In nearly a nanosecond, Nicholas finds himself consumed by a dangerous set of ever-changing rules, unable to distinguish where the charade ends and reality begins.",62.925175,"[{""name"": ""PolyGram Filmed Entertainment"", ""id"": 1382}, {""name"": ""A&B Producoes"", ""id"": 1519}, {""name"": ""Popaganda Films"", ""id"": 10164}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",9/12/1997,109423648,129,"[{""iso_639_1"": ""cn"", ""name"": ""\u5e7f\u5dde\u8bdd / \u5ee3\u5dde\u8a71""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,What do you get for the man who has everything?,The Game,7.5,1506
